CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
,,,,,,
0.75,18.07,6.76,9.26,43.96,69.54,73
0.74,17.64,6.62,9.87,44.08,69.75,73
1.03,16.15,6.74,9.87,39.21,62.83,65
1.17,17.59,7.12,10.81,41.75,66.5,70
1.05,17.64,6.72,10.68,46.13,72.58,77
1.35,17.73,6.74,11.51,46.92,73.75,78
1.4,18.34,6.75,8.89,33.92,55.58,57
0.73,18.58,6.81,9.21,44.04,69.67,73
1.17,18.63,6.88,11.94,54.79,84.71,92
1.23,18.52,6.79,10.21,51.96,80.75,87
1.06,18,7.4,8.18,60.08,92.13,100
0.88,20.04,6.75,12.31,64.21,97.79,113
0.81,22.17,6.26,8.83,59.63,91.5,100
0.83,22.59,6.69,7.83,54.71,84.54,92
0.82,26.73,6.73,9.61,63.86,98,113
0.78,23.57,7,12.18,52.13,80.88,87
0.72,19.66,6.79,8.44,45.75,72.04,77
0.84,17.18,7.76,8.03,37.08,59.96,62
1.05,18.55,6.33,7.73,48.63,76.08,82
1.22,18.35,6.7,8.92,43.13,68.46,72
1.42,20.18,6.77,11.99,52.96,82.13,88
0.85,22.04,7.03,10.28,53.04,82.13,88
1.07,24.26,6.74,8.37,51.96,80.63,87
1.06,16.05,6.74,7.87,23.58,40.96,41
1.36,17.59,6.66,9.73,15.17,29.17,41
0.66,16.55,6.73,11.16,27.54,46.5,47
0.71,16.26,6.76,9.46,43.29,68.63,72
0.72,18.72,6.79,8.91,50.08,78.13,83
0.68,20.57,6.75,10.99,51.46,80.04,85
0.9,22.05,6.76,11.9,50.33,78.54,83
1.12,17.95,6.79,10.52,49.75,77.75,83
1.17,17.53,6.76,10.06,51.54,80.21,102
1.39,22.27,6.75,11.63,55.08,85.17,87
0.74,14.82,6.8,10.19,15.96,30.21,97
0.7,15.98,6.64,9.58,21.21,37.67,97
0.69,17.24,6.6,7.85,28.13,47.42,91
1.3,16.69,6.76,11.46,44.96,71.58,79
1.2,17.48,6.95,10.74,55.54,85.79,98
0.93,17.84,6.93,8.06,68.75,104.29,108
1.12,19.71,6.85,11.77,63.67,97.17,108
